,city_name,continent,country,country_code,display_name,elevation,iata,icao,latitude,longitude,name,routes,timezone
TAS,Tashkent,AS,Uzbekistan,UZ,"Tashkent (TAS), Uzbekistan",1406.0,TAS,UTTT,41.257893,69.281204,Islam Karimov Tashkent International Airport,"[{'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'TK', 'name': 'Turkish Airlines'}, {'iata': 'HH', 'name': 'Taban Airlines'}, {'iata': 'C6', 'name': 'CanJet Airlines'}], 'iata': 'IST', 'km': 3365, 'min': 320}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'KC', 'name': 'Air Astana'}], 'iata': 'ALA', 'km': 680, 'min': 90}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'FZ', 'name': 'flydubai'}, {'iata': 'C6', 'name': 'CanJet Airlines'}], 'iata': 'DXB', 'km': 2191, 'min': 215}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'US', 'name': 'US Airways'}], 'iata': 'UGC', 'km': 723, 'min': 90}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'US', 'name': 'US Airways'}], 'iata': 'TMJ', 'km': 472, 'min': 90}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'XY', 'name': 'Flynas'}, {'iata': 'C6', 'name': 'CanJet Airlines'}], 'iata': 'JED', 'km': 3562, 'min': 325}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': '6E', 'name': 'IndiGo'}], 'iata': 'DEL', 'km': 1578, 'min': 170}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}], 'iata': 'NCU', 'km': 811, 'min': 100}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'OZ', 'name': 'Asiana Airlines'}, {'iata': 'HH', 'name': 'Taban Airlines'}], 'iata': 'ICN', 'km': 4855, 'min': 370}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'KC', 'name': 'Air Astana'}], 'iata': 'NQZ', 'km': 1098, 'min': 120}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'K9', 'name': 'TezJet'}], 'iata': 'FRU', 'km': 472, 'min': 70}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'US', 'name': 'US Airways'}], 'iata': 'FEG', 'km': 230, 'min': 50}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'US', 'name': 'US Airways'}], 'iata': 'BHK', 'km': 439, 'min': 70}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'J2', 'name': 'AZAL Azerbaijan Airlines'}], 'iata': 'GYD', 'km': 1620, 'min': 170}, {'carriers': [{'iata': '3L', 'name': 'Air Arabia Abu Dhabi'}, {'iata': '5W', 'name': 'Intercontinental Airways (Gambia)'}], 'iata': 'AUH', 'km': 2308, 'min': 235}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'SZ', 'name': 'Air Southwest'}], 'iata': 'DYU', 'km': 303, 'min': 60}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'US', 'name': 'US Airways'}], 'iata': 'KSQ', 'km': 404, 'min': 80}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'US', 'name': 'US Airways'}], 'iata': 'NMA', 'km': 197, 'min': 60}, {'carriers': [{'iata': 'G9', 'name': 'Air Arabia'}], 'iata': 'SHJ', 'km': 2177, 'min': 205}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'US', 'name': 'US Airways'}], 'iata': 'SKD', 'km': 260, 'min': 55}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'US', 'name': 'US Airways'}], 'iata': 'NVI', 'km': 370, 'min': 85}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'PKX', 'km': 3957, 'min': 330}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}, {'iata': 'HY', 'name': 'Uzbekistan Airways'}], 'iata': 'URC', 'km': 1518, 'min': 145}, {'carriers': [{'iata': 'QR', 'name': 'Qatar Airways'}], 'iata': 'DOH', 'km': 2410, 'min': 245}, {'carriers': [{'iata': 'J9', 'name': 'Jazeera Airways'}, {'iata': 'NP', 'name': 'Nile Air'}], 'iata': 'KWI', 'km': 2343, 'min': 230}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'C6', 'name': 'CanJet Airlines'}], 'iata': 'TBS', 'km': 2025, 'min': 200}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'OD', 'name': 'Batik Air Malaysia'}], 'iata': 'KUL', 'km': 5359, 'min': 510}, {'carriers': [{'iata': 'HH', 'name': 'Taban Airlines'}, {'iata': 'HY', 'name': 'Uzbekistan Airways'}], 'iata': 'CXR', 'km': 5056, 'min': 448}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'HH', 'name': 'Taban Airlines'}], 'iata': 'TLV', 'km': 3220, 'min': 330}, {'carriers': [{'iata': 'GJ', 'name': 'Loong Air'}], 'iata': 'XIY', 'km': 3524, 'min': 320}, {'carriers': [{'iata': 'GJ', 'name': 'Loong Air'}], 'iata': 'TFU', 'km': 3374, 'min': 310}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'ESB', 'km': 3047, 'min': 290}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}], 'iata': 'PEK', 'km': 3951, 'min': 320}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}], 'iata': 'BOM', 'km': 2481, 'min': 260}, {'carriers': [{'iata': 'C6', 'name': 'CanJet Airlines'}], 'iata': 'DWC', 'km': 2236, 'min': 205}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'C6', 'name': 'CanJet Airlines'}], 'iata': 'BUS', 'km': 2303, 'min': 225}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}], 'iata': 'CGK', 'km': 6482, 'min': 505}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}], 'iata': 'BKK', 'km': 4313, 'min': 370}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}], 'iata': 'NRT', 'km': 6056, 'min': 455}, {'carriers': [{'iata': 'KA', 'name': 'Cathay Dragon'}], 'iata': 'OSS', 'km': 303, 'min': 55}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}], 'iata': 'PQC', 'km': 4838, 'min': 405}, {'carriers': [{'iata': 'HH', 'name': 'Taban Airlines'}, {'iata': 'HY', 'name': 'Uzbekistan Airways'}], 'iata': 'HKT', 'km': 4656, 'min': 380}, {'carriers': [{'iata': 'RQ', 'name': 'Kam Air'}], 'iata': 'KBL', 'km': 743, 'min': 90}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}], 'iata': 'GOX', 'km': 2863, 'min': 265}]",Asia/Tashkent
TAZ,Dashoguz,AS,Turkmenistan,TM,"Dashoguz (TAZ), Turkmenistan",272.0,TAZ,UTAT,41.763678,59.834052,Dasoguz Airport,"[{'carriers': [{'iata': 'T5', 'name': 'Turkmenistan Airlines'}], 'iata': 'ASB', 'km': 437, 'min': 50}, {'carriers': [{'iata': 'T5', 'name': 'Turkmenistan Airlines'}], 'iata': 'KRW', 'km': 604, 'min': 70}, {'carriers': [{'iata': 'T5', 'name': 'Turkmenistan Airlines'}], 'iata': 'CRZ', 'km': 435, 'min': 100}, {'carriers': [{'iata': 'T5', 'name': 'Turkmenistan Airlines'}], 'iata': 'MYP', 'km': 486, 'min': 50}]",Asia/Ashgabat
TBB,Tuy Hoa,AS,Viet Nam,VN,"Tuy Hoa (TBB), Viet Nam",0.0,TBB,VVTH,13.044167,109.339722,Dong Tac,"[{'carriers': [{'iata': 'VJ', 'name': 'VietJet Air'}, {'iata': 'VN', 'name': 'Vietnam Airlines'}], 'iata': 'SGN', 'km': 382, 'min': 70}, {'carriers': [{'iata': 'VN', 'name': 'Vietnam Airlines'}], 'iata': 'HAN', 'km': 979, 'min': 105}]",Asia/Ho_Chi_Minh
TBH,Barangay Tugdan,AS,Philippines,PH,"Barangay Tugdan (TBH), Philippines",24.0,TBH,RPVU,12.315823,122.081968,Romblon Airport,"[{'carriers': [{'iata': 'T6', 'name': 'AirSWIFT'}], 'iata': 'MNL', 'km': 268, 'min': 75}, {'carriers': [{'iata': 'T6', 'name': 'AirSWIFT'}], 'iata': 'ENI', 'km': 315, 'min': 75}]",Asia/Manila
TBS,Tbilisi,AS,Georgia,GE,"Tbilisi (TBS), Georgia",1624.0,TBS,UGTB,41.674063,44.958958,Lochini,"[{'carriers': [{'iata': 'J2', 'name': 'AZAL Azerbaijan Airlines'}, {'iata': 'D4', 'name': 'Dart Airlines'}], 'iata': 'GYD', 'km': 448, 'min': 70}, {'carriers': [{'iata': 'TK', 'name': 'Turkish Airlines'}], 'iata': 'IST', 'km': 1353, 'min': 155}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'SAW', 'km': 1311, 'min': 150}, {'carriers': [{'iata': 'A9', 'name': 'Georgian Airways'}, {'iata': 'IZ', 'name': 'Arkia Israeli Airlines'}, {'iata': 'LY', 'name': 'El Al'}, {'iata': 'MJ', 'name': 'Myway Airlines'}], 'iata': 'TLV', 'km': 1398, 'min': 155}, {'carriers': [{'iata': 'QB', 'name': 'Qeshm Air'}, {'iata': 'EP', 'name': 'Iran Aseman Airlines'}, {'iata': 'IS', 'name': 'AIS Airlines'}, {'iata': 'B9', 'name': 'Iran Airtour'}], 'iata': 'IKA', 'km': 880, 'min': 165}, {'carriers': [{'iata': 'FZ', 'name': 'flydubai'}], 'iata': 'DXB', 'km': 2058, 'min': 195}, {'carriers': [{'iata': 'A9', 'name': 'Georgian Airways'}, {'iata': 'RM', 'name': 'Armenia Aircompany'}], 'iata': 'EVN', 'km': 175, 'min': 30}, {'carriers': [{'iata': 'G9', 'name': 'Air Arabia'}], 'iata': 'SHJ', 'km': 2058, 'min': 185}, {'carriers': [{'iata': 'D4', 'name': 'Dart Airlines'}], 'iata': 'BUS', 'km': 279, 'min': 63}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'XQ', 'name': 'SunExpress'}], 'iata': 'AYT', 'km': 1329, 'min': 145}, {'carriers': [{'iata': 'KU', 'name': 'Kuwait Airways'}, {'iata': 'J9', 'name': 'Jazeera Airways'}], 'iata': 'KWI', 'km': 1406, 'min': 155}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}, {'iata': 'MJ', 'name': 'Myway Airlines'}], 'iata': 'URC', 'km': 3448, 'min': 285}, {'carriers': [{'iata': '6E', 'name': 'IndiGo'}], 'iata': 'DEL', 'km': 3245, 'min': 295}, {'carriers': [{'iata': 'QR', 'name': 'Qatar Airways'}], 'iata': 'DOH', 'km': 1921, 'min': 190}, {'carriers': [{'iata': 'KC', 'name': 'Air Astana'}], 'iata': 'ALA', 'km': 2626, 'min': 225}, {'carriers': [{'iata': '3L', 'name': 'Air Arabia Abu Dhabi'}], 'iata': 'AUH', 'km': 2112, 'min': 195}, {'carriers': [{'iata': 'XY', 'name': 'Flynas'}], 'iata': 'JED', 'km': 2284, 'min': 260}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'C6', 'name': 'CanJet Airlines'}], 'iata': 'TAS', 'km': 2025, 'min': 180}, {'carriers': [{'iata': 'XY', 'name': 'Flynas'}], 'iata': 'RUH', 'km': 1860, 'min': 193}, {'carriers': [{'iata': 'DV', 'name': 'SCAT Airlines'}], 'iata': 'SCO', 'km': 557, 'min': 65}, {'carriers': [{'iata': 'GF', 'name': 'Gulf Air'}], 'iata': 'BAH', 'km': 1786, 'min': 180}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}], 'iata': 'ESB', 'km': 1022, 'min': 110}, {'carriers': [{'iata': 'KC', 'name': 'Air Astana'}], 'iata': 'NQZ', 'km': 2272, 'min': 205}, {'carriers': [{'iata': 'A9', 'name': 'Georgian Airways'}], 'iata': 'LCA', 'km': 1245, 'min': 80}, {'carriers': [{'iata': 'XQ', 'name': 'SunExpress'}], 'iata': 'ADB', 'km': 1563, 'min': 160}, {'carriers': [{'iata': 'R5', 'name': 'Jordan Aviation'}], 'iata': 'AMM', 'km': 1362, 'min': 165}, {'carriers': [{'iata': 'IA', 'name': 'Iraqi Airways'}], 'iata': 'BGW', 'km': 936, 'min': 155}, {'carriers': [{'iata': 'IA', 'name': 'Iraqi Airways'}], 'iata': 'EBL', 'km': 609, 'min': 125}]",Asia/Tbilisi
TBZ,Tabriz,AS,Iran,IR,"Tabriz (TBZ), Iran",4459.0,TBZ,OITT,38.122849,46.244274,Tabriz International,"[{'carriers': [{'iata': 'B9', 'name': 'Iran Airtour'}, {'iata': 'EP', 'name': 'Iran Aseman Airlines'}, {'iata': 'IR', 'name': 'Iran Air'}, {'iata': 'QB', 'name': 'Qeshm Air'}, {'iata': 'W5', 'name': 'Mahan Air'}], 'iata': 'THR', 'km': 526, 'min': 70}, {'carriers': [{'iata': 'B9', 'name': 'Iran Airtour'}, {'iata': 'IS', 'name': 'AIS Airlines'}], 'iata': 'MHD', 'km': 1206, 'min': 120}, {'carriers': [{'iata': 'TK', 'name': 'Turkish Airlines'}, {'iata': 'B9', 'name': 'Iran Airtour'}], 'iata': 'IST', 'km': 1538, 'min': 170}, {'carriers': [], 'iata': 'DLM', 'km': 1550, 'min': 160}, {'carriers': [{'iata': 'B9', 'name': 'Iran Airtour'}, {'iata': 'IS', 'name': 'AIS Airlines'}], 'iata': 'KIH', 'km': 1475, 'min': 135}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}], 'iata': 'SAW', 'km': 1486, 'min': 155}, {'carriers': [{'iata': 'QB', 'name': 'Qeshm Air'}, {'iata': 'B9', 'name': 'Iran Airtour'}], 'iata': 'BND', 'km': 1536, 'min': 130}, {'carriers': [{'iata': 'W5', 'name': 'Mahan Air'}], 'iata': 'IFN', 'km': 785, 'min': 100}, {'carriers': [], 'iata': 'PGU', 'km': 1336, 'min': 120}, {'carriers': [{'iata': 'B9', 'name': 'Iran Airtour'}], 'iata': 'ADB', 'km': 1669, 'min': 160}, {'carriers': [{'iata': 'B9', 'name': 'Iran Airtour'}], 'iata': 'BGW', 'km': 569, 'min': 105}, {'carriers': [{'iata': 'QB', 'name': 'Qeshm Air'}], 'iata': 'IKA', 'km': 531, 'min': 70}, {'carriers': [{'iata': 'QB', 'name': 'Qeshm Air'}, {'iata': 'B9', 'name': 'Iran Airtour'}], 'iata': 'SYZ', 'km': 1117, 'min': 103}]",Asia/Tehran
TCG,Tacheng,AS,China,CN,"Tacheng (TCG), China",1986.0,TCG,ZWTC,46.670595,83.339733,Tacheng Airport,"[{'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}, {'iata': 'GS', 'name': 'Tianjin Airlines'}], 'iata': 'URC', 'km': 447, 'min': 65}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}, {'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'YIN', 'km': 340, 'min': 68}, {'carriers': [{'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'CGO', 'km': 2887, 'min': 255}, {'carriers': [{'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'KRY', 'km': 167, 'min': 40}, {'carriers': [{'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'AAT', 'km': 378, 'min': 55}, {'carriers': [{'iata': 'GS', 'name': 'Tianjin Airlines'}], 'iata': 'XIY', 'km': 2528, 'min': 220}, {'carriers': [{'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'TFU', 'km': 2569, 'min': 225}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'SHF', 'km': 335, 'min': 55}]",Asia/Shanghai
TCR,Tuticorin,AS,India,IN,"Tuticorin (TCR), India",0.0,TCR,VOTK,8.716667,78.033333,Tuticorin Airport,"[{'carriers': [{'iata': '6E', 'name': 'IndiGo'}], 'iata': 'MAA', 'km': 526, 'min': 95}, {'carriers': [{'iata': '6E', 'name': 'IndiGo'}], 'iata': 'BLR', 'km': 497, 'min': 100}]",Asia/Kolkata
TCX,Tabas,AS,Iran,IR,"Tabas (TCX), Iran",2276.0,TCX,OIMT,33.667169,56.895559,Tabas Airport,"[{'carriers': [{'iata': 'W5', 'name': 'Mahan Air'}], 'iata': 'THR', 'km': 557, 'min': 90}]",Asia/Tehran
TCZ,Tengchong,AS,China,CN,"Tengchong (TCZ), China",6207.0,TCZ,ZUTC,24.939379,98.482028,Tengchong Tuofeng Airport,"[{'carriers': [{'iata': '8L', 'name': 'Lucky Air'}, {'iata': 'KY', 'name': 'Kunming Airlines'}, {'iata': 'MU', 'name': 'China Eastern Airlines'}, {'iata': 'DR', 'name': 'Ruili Airlines'}], 'iata': 'KMG', 'km': 449, 'min': 70}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'WUH', 'km': 1677, 'min': 145}, {'carriers': [{'iata': 'MU', 'name': 'China Eastern Airlines'}, {'iata': '3U', 'name': 'Sichuan Airlines'}], 'iata': 'TFU', 'km': 836, 'min': 100}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'CGO', 'km': 1823, 'min': 185}, {'carriers': [{'iata': 'KY', 'name': 'Kunming Airlines'}], 'iata': 'XIY', 'km': 1446, 'min': 145}, {'carriers': [{'iata': 'KY', 'name': 'Kunming Airlines'}], 'iata': 'CKG', 'km': 965, 'min': 120}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'CAN', 'km': 1514, 'min': 158}, {'carriers': [{'iata': 'KY', 'name': 'Kunming Airlines'}], 'iata': 'CSX', 'km': 1510, 'min': 135}, {'carriers': [{'iata': '8L', 'name': 'Lucky Air'}], 'iata': 'JHG', 'km': 402, 'min': 60}]",Asia/Shanghai
TDK,Taldykorgan,AS,Kazakhstan,KZ,"Taldykorgan (TDK), Kazakhstan",1918.0,TDK,UAAT,45.109287,78.441326,Taldykorgan Airport,"[{'carriers': [{'iata': 'IQ', 'name': 'Qazaq Air'}], 'iata': 'NQZ', 'km': 838, 'min': 130}]",Asia/Almaty
TDX,Trat,AS,Thailand,TH,"Trat (TDX), Thailand",0.0,TDX,VTBO,12.273953,102.318675,Trat,"[{'carriers': [{'iata': 'PG', 'name': 'Bangkok Airways'}], 'iata': 'BKK', 'km': 231, 'min': 60}]",Asia/Bangkok
TEI,Tezu,AS,India,IN,"Tezu (TEI), India",0.0,TEI,VETJ,27.95,96.133333,Tezu Airport,"[{'carriers': [{'iata': '9I', 'name': 'Air India'}], 'iata': 'DIB', 'km': 121, 'min': 40}]",Asia/Kolkata
TEN,Tongren,AS,China,CN,"Tongren (TEN), China",2315.0,TEN,ZUTR,27.883689,109.299019,Tongren,"[{'carriers': [{'iata': 'GY', 'name': 'Colorful GuiZhou Airlines'}], 'iata': 'LLB', 'km': 300, 'min': 63}, {'carriers': [{'iata': 'GY', 'name': 'Colorful GuiZhou Airlines'}], 'iata': 'NGB', 'km': 1205, 'min': 120}, {'carriers': [{'iata': 'AQ', 'name': '9 Air Co'}], 'iata': 'NKG', 'km': 1018, 'min': 110}, {'carriers': [{'iata': '9H', 'name': 'Air Changan'}], 'iata': 'XIY', 'km': 728, 'min': 110}, {'carriers': [{'iata': '9H', 'name': 'Air Changan'}], 'iata': 'XMN', 'km': 957, 'min': 120}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'WMT', 'km': 282, 'min': 55}, {'carriers': [{'iata': 'GY', 'name': 'Colorful GuiZhou Airlines'}], 'iata': 'ACX', 'km': 532, 'min': 70}, {'carriers': [{'iata': 'KN', 'name': 'China United Airlines'}], 'iata': 'PKX', 'km': 1446, 'min': 145}, {'carriers': [{'iata': 'A6', 'name': 'HongTu Airlines'}], 'iata': 'FOC', 'km': 1052, 'min': 110}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'KWE', 'km': 288, 'min': 55}, {'carriers': [{'iata': 'A6', 'name': 'HongTu Airlines'}], 'iata': 'WUX', 'km': 1147, 'min': 120}, {'carriers': [{'iata': '3U', 'name': 'Sichuan Airlines'}], 'iata': 'SWA', 'km': 868, 'min': 115}, {'carriers': [{'iata': 'BK', 'name': 'Okay Airways'}], 'iata': 'JHG', 'km': 1081, 'min': 120}, {'carriers': [{'iata': '3U', 'name': 'Sichuan Airlines'}], 'iata': 'TFU', 'km': 544, 'min': 95}, {'carriers': [{'iata': 'HO', 'name': 'Juneyao Airlines'}], 'iata': 'PVG', 'km': 1264, 'min': 140}, {'carriers': [{'iata': 'AQ', 'name': '9 Air Co'}], 'iata': 'CGO', 'km': 854, 'min': 120}, {'carriers': [{'iata': 'AQ', 'name': '9 Air Co'}], 'iata': 'HAK', 'km': 888, 'min': 120}, {'carriers': [{'iata': 'BK', 'name': 'Okay Airways'}], 'iata': 'HGH', 'km': 1114, 'min': 115}, {'carriers': [{'iata': 'AQ', 'name': '9 Air Co'}], 'iata': 'TYN', 'km': 1137, 'min': 130}]",Asia/Shanghai
TEZ,Salonibari,AS,India,IN,"Salonibari (TEZ), India",235.0,TEZ,VETZ,26.706814,92.777941,Tezpur,"[{'carriers': [{'iata': 'SG', 'name': 'SpiceJet'}], 'iata': 'CCU', 'km': 627, 'min': 95}, {'carriers': [{'iata': '9I', 'name': 'Air India'}], 'iata': 'GAU', 'km': 136, 'min': 45}, {'carriers': [{'iata': '9I', 'name': 'Air India'}], 'iata': 'IXI', 'km': 145, 'min': 50}]",Asia/Kolkata
