Origin,Origin Country,Destination,Destination Country,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude
AMM,Jordan,BKK,Thailand,31.722535,35.989318,13.693062,100.752044
AMM,Jordan,TBS,Georgia,31.722535,35.989318,41.674063,44.958958
AMM,Jordan,PFO,Cyprus,31.722535,35.989318,34.711552,32.489104
AMM,Jordan,ICN,Republic of Korea,31.722535,35.989318,37.458764,126.441961
AMQ,Indonesia,CGK,Indonesia,-3.704996,128.088876,-6.130643,106.655526
AMQ,Indonesia,UPG,Indonesia,-3.704996,128.088876,-5.077019,119.547738
AMQ,Indonesia,SOQ,Indonesia,-3.704996,128.088876,-0.890214,131.290591
AMQ,Indonesia,TTE,Indonesia,-3.704996,128.088876,0.832233,127.379132
AMQ,Indonesia,MDC,Indonesia,-3.704996,128.088876,1.543533,124.922029
AMQ,Indonesia,SUB,Indonesia,-3.704996,128.088876,-7.377937,112.793782
AMQ,Indonesia,SXK,Indonesia,-3.704996,128.088876,-7.988421,131.304336
AMQ,Indonesia,NAM,Indonesia,-3.704996,128.088876,-3.237134,127.100235
AMQ,Indonesia,DOB,Indonesia,-3.704996,128.088876,-5.77376,134.209426
AMQ,Indonesia,JIO,Indonesia,-3.704996,128.088876,-8.140276,127.908115
AMQ,Indonesia,LUV,Indonesia,-3.704996,128.088876,-5.666667,132.716667
AMQ,Indonesia,NRE,Indonesia,-3.704996,128.088876,-3.854102,126.703082
AMQ,Indonesia,SQN,Indonesia,-3.704996,128.088876,-2.098013,125.965079
AOG,China,TFU,China,41.105975,122.853926,30.314195,104.44186
AOG,China,PVG,China,41.105975,122.853926,31.143333,121.805278
AOJ,Japan,ITM,Japan,40.738757,140.689224,34.790975,135.441719
AOJ,Japan,HND,Japan,40.738757,140.689224,35.553476,139.781206
AOJ,Japan,CTS,Japan,40.738757,140.689224,42.787281,141.681341
AOJ,Japan,NKM,Japan,40.738757,140.689224,35.253892,136.919572
AOJ,Japan,UKB,Japan,40.738757,140.689224,34.6373,135.228388
